IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP330;IP_PROP346;IP_PROP332;IP_PROP333;IP_PROP334;IP_PROP351;IP_PROP79;IP_PROP350;IP_PROP353;IP_PROP336;IP_PROP337;IP_PROP352;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
3845;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-6.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-6.png;Поскольку основное предназначение стола – сбор пищевых отходов, его используют в основном в секторе приема грязной посуды. Столы для сбора отходов выпускаются с бортом.;разборная;нержавеющая сталь (AISI 430. 0,7 мм);есть;уголок 40х40 (оцинковая сталь. 1.5 мм);3 сторон (оцинкованная сталь. 0.7 мм);ламинированная ДСП (16 мм);;;;;;;Нейтральное оборудование;Столы специализированные;Столы для сбора отходов;;RUB
3856;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Главная особенность такого стола – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;разборная;бук (40 мм);нет;уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;100;нержавеющая сталь (AISI 430. 0.7 мм);35;опора-болт;сплошные;Нейтральное оборудование;Столы специализированные;Столы кондитерские;;RUB
