IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP330;IP_PROP350;IP_PROP346;IP_PROP333;IP_PROP336;IP_PROP337;IP_PROP351;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1;CV_CURRENCY_1
3464;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/i01-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/i01-1.png;Подтоварник каркас оцинкованный. Изготавливаются из высококачественной нержавеющей стали.;разборная;200;нержавеющая сталь (AISI 430. 0.7 мм);уголок 40х40 (оцинковая сталь. 1.5 мм);30;опора-болт;ламинированная ДСП (16 мм);Нейтральное оборудование;Подтоварники;Подтоварник каркас оцинкованный;;RUB
3469;;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/i01-1.png;;html;;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/i01-1.png;Подтоварник каркас нержавеющий. Изготавливаются из высококачественной нержавеющей стали.;разборная;200;нержавеющая сталь (AISI 430. 0.7 мм);уголок 40х40 (оцинковая сталь. 1.5 мм);30;опора-болт;ламинированная ДСП (16 мм);Нейтральное оборудование;Подтоварники;Подтоварник каркас нержавеющий;;RUB
