IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP79;IP_PROP330;IP_PROP350;IP_PROP333;IP_PROP336;IP_PROP337;IP_PROP352;IP_PROP355;IP_PROP340;IP_PROP345;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP353;IP_PROP351;CV_PRICE_1;CV_CURRENCY_1
3883;Стеллаж производственный СТП-С-18/5 (1800х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-18-5-1800x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;500;1800;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1820;0.17;520;38;180;37;;;17 699;RUB
3884;Стеллаж производственный СТП-С-18/6 (1800х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-18-6-1800x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;600;1800;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;сплошные;со сплошной полкой;1820;0.2;620;43;180;42;;;21 284;RUB
3885;Стеллаж производственный СТП-С-6/4 (600х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-6-4-600x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;400;600;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;8 535;RUB
3886;Стеллаж производственный СТП-С-6/5 (600х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-6-5-600x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;0;1800;500;600;ООО «АССУМ»;Россия;296;;;;;;;;;;;;;;;;;9 123;RUB
3887;Стеллаж производственный СТП-С-6/6 (600х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;;html;stellazh-proizvodstvennyj-stp-s-6-6-600x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-sploshnye-polki.png;Стеллаж производственный служит основным устройством для консервации вещей. В пищевой промышленности он устанавливается в моечных, производственных помещениях и на складах.;1800;600;600;ООО «АССУМ»;Россия;296;;разборная;;уголок 40х40 (оцинковая сталь. 1.5 мм);;;сплошные;;;;;;;;;;12 274;RUB
3889;Стеллаж производственный СТПП-С-10/4 (1000х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-10-4-1000x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;400;1000;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1020;0.09;420;28;210;27;;;11 514;RUB
3890;Стеллаж производственный СТПП-С-10/5 (1000х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-10-5-1000x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;500;1000;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1020;0.11;520;30.5;210;29.5;;;12 385;RUB
3891;Стеллаж производственный СТПП-С-10/6 (1000х600х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-10-6-1000x600x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;600;1000;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1020;0.13;620;33;210;31.5;;;15 470;RUB
3892;Стеллаж производственный СТПП-С-12/4 (1200х400х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-12-4-1200x400x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;400;1200;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1220;0.11;420;31.45;210;30.45;;;12 821;RUB
3893;Стеллаж производственный СТПП-С-12/5 (1200х500х1800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;;html;stellazh-proizvodstvennyj-stpp-s-12-5-1200x500x1800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/stellazhi-proizvodstvennye-perforirovannye-polki.png;Стеллаж производственный;1800;500;1200;ООО «АССУМ»;Россия;296;4;разборная;80;уголок 40х40 (оцинковая сталь. 1.5 мм);35;опора-болт;с перфорацией;перфорированный;1220;0.13;520;36.45;210;35.45;;;13 836;RUB
