IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP346;IP_PROP330;IP_PROP332;IP_PROP333;IP_PROP351;IP_PROP353;IP_PROP79;IP_PROP352;IP_PROP347;IP_PROP354;IP_PROP331;IP_PROP335;CV_PRICE_1;CV_CURRENCY_1
3947;Стол производственный СП-С-16/6 (1600х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-16-6-1600x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 600.;850;600;1600;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;7 526;RUB
3948;Стол производственный СП-С-17/6 (1700х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-17-6-1700x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 600.;850;600;1700;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;7 947;RUB
3949;Стол производственный СП-С-18/6 (1800х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-18-6-1800x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 600.;850;600;1800;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;8 213;RUB
3950;Стол производственный СП-С-6/7 (600х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-6-7-600x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;600;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;4 599;RUB
3951;Стол производственный СП-С-7/7 (700х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-7-7-700x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;700;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;4 893;RUB
3952;Стол производственный СП-С-8/7 (800х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-8-7-800x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;800;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;5 354;RUB
3953;Стол производственный СП-С-9/7 (900х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-9-7-900x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;900;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;5 612;RUB
3954;Стол производственный СП-С-10/7 (1000х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-10-7-1000x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1000;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;5 995;RUB
3955;Стол производственный СП-С-11/7 (1100х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-11-7-1100x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1100;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;6 251;RUB
3956;Стол производственный СП-С-12/7 (1200х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;;html;stol-proizvodstvennyj-sp-s-12-7-1200x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/01-4.png;Стол производственный “ASSUM-Standart” с полкой-решеткой из нержавеющей стали, без борта. Серия 700.;850;700;1200;ООО «АССУМ»;Россия;296;нержавеющая сталь (AISI 430. 1 мм);разборная;нет;уголок 40х40 (оцинковая сталь. 1.5 мм);ламинированная ДСП (16 мм);;;;;;;;6 706;RUB
