IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP332;IP_PROP346;IP_PROP333;IP_PROP334;IP_PROP351;IP_PROP79;IP_PROP330;IP_PROP350;IP_PROP353;IP_PROP336;IP_PROP337;IP_PROP352;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP345;CV_PRICE_1;CV_CURRENCY_1
4221;Стол кондитерский СК-П-10/6 (1000х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-10-6-1000x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;600;1000;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 0.7 мм);35;опора-болт;сплошные;1010;610;35.9;150;35;;18 793;RUB
4222;Стол кондитерский СК-П-10/7 (1000х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-10-7-1000x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский;850;700;1000;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 0.7 мм);35;опора-болт;сплошные;1010;710;40.1;150;39;;23 856;RUB
4223;Стол кондитерский СК-П-12/6 (1200х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-12-6-1200x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;600;1200;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1210;610;41.34;150;40;;21 609;RUB
4224;Стол кондитерский СК-П-12/7 (1200х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-12-7-1200x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;700;1200;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1210;710;46.88;150;46;;27 104;RUB
4225;Стол кондитерский СК-П-12/8 (1200х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-12-8-1200x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;800;1200;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1210;810;53;150;52;;29 411;RUB
4226;Стол кондитерский СК-П-15/6 (1500х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-15-6-1500x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;600;1500;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1510;610;50.8;150;49;;25 655;RUB
4227;Стол кондитерский СК-П-15/7 (1500х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-15-7-1500x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;700;1500;ООО «АССУМ»;Россия;296;нет;нержавеющая сталь (AISI 430. 1.5 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1510;710;57.5;150;56;;29 551;RUB
4228;Стол кондитерский СК-П-15/8 (1500х800х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-15-8-1500x800x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;800;1500;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1510;810;64.1;150;62.48;0.18;32 384;RUB
4229;Стол кондитерский СК-П-18/6 (1800х600х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-18-6-1800x600x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;600;1800;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1810;610;56.76;150;58;;29 548;RUB
4230;Стол кондитерский СК-П-18/7 (1800х700х850);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;;html;stol-konditerskij-sk-p-18-7-1800x700x850;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-6.png;Стол кондитерский. Главная особенность – столешница из бука, являющаяся идеальной поверхностью для работы с тестом. Используются для работы с сухими продуктами, не допускается попадание влаги.;850;700;1800;ООО «АССУМ»;Россия;296;нет;бук (40 мм);уголок 40х40 (нержавеющая сталь AISI 430. 1.5 мм);;ребро жесткости (нержавеющая сталь. 0.7 мм);1;разборная;100;нержавеющая сталь (AISI 430. 1.5 мм);35;опора-болт;сплошные;1810;710;62.72;150;64;;36 632;RUB
