IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP265;IP_PROP61;IP_PROP350;IP_PROP348;IP_PROP340;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP351;IP_PROP344;IP_PROP352;IP_PROP353;IP_PROP332;IP_PROP347;IP_PROP79;IP_PROP330;IP_PROP354;IP_PROP333;CV_PRICE_1;CV_CURRENCY_1
3850;Полка настенная ПНП-П-15/3 (1500х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;;html;polka-nastennaya-pnp-p-15-3-1500x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;Полка настенная перфорированная- вспомогательный элемент на каждой кухне. Благодаря им у повара под рукой находится весь необходимый инвентарь. Поэтому их никогда не бывает много.;220;300;1500;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);1510;320;9.6;40;ребро жесткости (оцинкованная сталь. 0.5 мм);9;с перфорацией;нержавеющая сталь (AISI 430. 0.7 мм);;;;;;;2 201;RUB
3851;Полка настенная ПНП-П-6/3 (600х300х220);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;;html;polka-nastennaya-pnp-p-6-3-600x300x220;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/02-2.png;Полка настенная перфорированная – вспомогательный элемент на каждой кухне. Благодаря им у повара под рукой находится весь необходимый инвентарь. Поэтому их никогда не бывает много.;220;300;600;ООО «АССУМ»;Россия;296;25;уголки (нержавеющая сталь AISI. 1 мм);610;320;3.5;40;ребро жесткости (оцинкованная сталь. 0.5 мм);3;с перфорацией;;;;1;;;;1 424;RUB
3853;Полка настенная ПНО-П-10/4 (1000х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-10-4-1000x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;1000;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;нет;;10 085;RUB
3854;Полка настенная ПНО-П-12/4 (1200х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-12-4-1200x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;1200;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;нет;;10 867;RUB
3855;Полка настенная ПНО-П-15/4 (1500х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-15-4-1500x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;1500;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;;сварная;нет;;12 222;RUB
3856;Полка настенная ПНО-П-6/4 (600х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;;html;polka-nastennaya-pno-p-6-4-600x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/03-1.png;Полка настенная полуоткрытая.;600;400;600;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;нет;;7 825;RUB
3858;Полка закрытая ПЗК-П-10/4 (1000х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;;html;polka-zakrytaya-pzk-p-10-4-1000x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;Полка закрытая.;600;400;1000;ООО «АССУМ»;Россия;296;;;1010;410;20.5;610;;20;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;;сварная;двери-купе;;13 971;RUB
3859;Полка закрытая ПЗК-П-12/4 (1200х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;;html;polka-zakrytaya-pzk-p-12-4-1200x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;Полка закрытая.;600;400;1200;ООО «АССУМ»;Россия;296;;;1210;410;25;610;;24;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;;сварная;двери-купе;;16 021;RUB
3860;Полка закрытая ПЗК-П-15/4 (1500х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;;html;polka-zakrytaya-pzk-p-15-4-1500x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;Полка закрытая.;600;400;1500;ООО «АССУМ»;Россия;296;;;1510;410;27;610;;26;;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;двери-купе;;18 061;RUB
3861;Полка закрытая ПЗК-П-6/4 (600х400х600);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;;html;polka-zakrytaya-pzk-p-6-4-600x400x600;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/04-2.png;Полка закрытая.;600;400;600;ООО «АССУМ»;Россия;296;;;610;410;16.5;610;;16;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;сварная;двери-купе;;10 999;RUB
3863;Полка настольная ПНС-П-1-10/3 (1000х300х400);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;;html;polka-nastolnaya-pns-p-1-10-3-1000x300x400;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;Полка настольная;400;300;1000;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;1;разборная;;труба 20х20 (нержавеющая сталь AISI 430. 1 мм);3 733;RUB
3864;Полка настольная ПНС-П-1-12/3 (1200х300х400);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;;html;polka-nastolnaya-pns-p-1-12-3-1200x300x400;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;Полка настольная;400;300;1200;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;1;разборная;;;4 017;RUB
3865;Полка настольная ПНС-П-1-15/3 (1500х300х400);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;;html;polka-nastolnaya-pns-p-1-15-3-1500x300x400;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;Полка настольная;400;300;1500;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;1;разборная;;труба 20х20 (нержавеющая сталь AISI 430. 1 мм);4 299;RUB
3866;Полка настольная ПНС-П-1-6/3 (600х300х400);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;;html;polka-nastolnaya-pns-p-1-6-3-600x300x400;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/05-2.png;Полка настольная;400;300;600;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;1;разборная;;труба 20х20 (нержавеющая сталь AISI 430. 1 мм);3 209;RUB
3868;Полка настольная ПНС-П-2-10/3 (1000х300х800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;;html;polka-nastolnaya-pns-p-2-10-3-1000x300x800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;Полка настольная;800;300;1000;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;;;;2;разборная;;труба 20х20 (нержавеющая сталь AISI 430. 1 мм);5 919;RUB
3869;Полка настольная ПНС-П-2-12/3 (1200х300х800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;;html;polka-nastolnaya-pns-p-2-12-3-1200x300x800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;Полка настольная;800;300;1200;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;нержавеющая сталь;;разборная;;;6 457;RUB
3870;Полка настольная ПНС-П-2-15/3 (1500х300х800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;;html;polka-nastolnaya-pns-p-2-15-3-1500x300x800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;Полка настольная;800;300;1500;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;2;разборная;;;7 279;RUB
3871;Полка настольная ПНС-П-2-6/3 (600х300х800);https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;;html;polka-nastolnaya-pns-p-2-6-3-600x300x800;html;https://sp-ao.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_600,h_600/https://assum.ru/wp-content/uploads/2021/04/06-1.png;Полка настольная;800;300;600;ООО «АССУМ»;Россия;296;;;;;;;;;сплошные;нержавеющая сталь (AISI 430. 0.7 мм);;;2;разборная;;;4 863;RUB
