IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP322;IP_PROP83;IP_PROP323;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
2163;Рубин 42.33;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e84f3ab1-cc12-11e1-91d9-001517fdaa50_00009467478_Rubin%2042.33/photo_1_00009467478_Rubin%2042.33SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112552;;html;shkaf_dlya_odezhdy_so_shtangoy_rubin_42_33;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e84f3ab1-cc12-11e1-91d9-001517fdaa50_00009467478_Rubin%2042.33/photo_1_00009467478_Rubin%2042.33SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112552;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Гардероб двухдверный «Рубин 42.33» является частью модульного набора мебели для офиса «Рубин».Регулируемые по высоте ножки позволяют при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e84f3ab1-cc12-11e1-91d9-001517fdaa50_00009467478_Rubin%2042.33/photo_3_00009467478_Rubin%2042.33SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112547;54;0.110;700;510;1860;Рубин 42;Миланский Орех;2;8 лет;;Главная;Офисная мебель;Офисная мебель;;24 640;RUB
2164;Лидер 82.11;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ffc123b0-cc14-11e1-91d9-001517fdaa50_00009467508_Lider%2082.11/photo_1_00009467508_Lider%2082.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657199027;;html;shkaf_dlya_odezhdy_so_shtangoy_lider_82_11;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ffc123b0-cc14-11e1-91d9-001517fdaa50_00009467508_Lider%2082.11/photo_1_00009467508_Lider%2082.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657199027;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для одежды «Лидер 82.11» является частью модульного набора для офиса «Лидер». Внутри установлена штанга для хранения одежды на плечиках. Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. В изделии используются межсекционные стяжки.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ffc123b0-cc14-11e1-91d9-001517fdaa50_00009467508_Lider%2082.11/photo_2_00009467508_Lider%2082.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198999;47;0.100;650;390;1990;Лидер 82;Орех Пегас;1;8 лет;;Главная;Офисная мебель;Офисная мебель;;24 900;RUB
2165;Лидер 84.11;https://davitamebel.ru/upload/resize_cache/product/275_206_1/30e21821-bda5-11e9-8b35-00155d00bf04__0000029966_Lider%2084.11/photo_1__0000029966_Lider%2084.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657199256;;html;shkaf_dlya_odezhdy_so_shtangoy_lider_84_11;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/30e21821-bda5-11e9-8b35-00155d00bf04__0000029966_Lider%2084.11/photo_1__0000029966_Lider%2084.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657199256;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для одежды «Лидер 84.11» является частью модульного набора для офиса «Лидер». Внутри установлена штанга для хранения одежды на плечиках.Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. В изделии используются межсекционные стяжки.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/30e21821-bda5-11e9-8b35-00155d00bf04__0000029966_Lider%2084.11/photo_2__0000029966_Lider%2084.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657199229;47;0.100;650;390;1990;Лидер 84;Дуб Кронберг;1;8 лет;;Главная;Шкафы;Распашные модульные шкафы;;24 900;RUB
2166;Лидер-Престиж 83.11;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc398-a3e3-11e1-b0a2-001517fdaa50_00009464033_Lider-Prestizh%2083.11/photo_1_00009464033_Lider-Prestizh%2083.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198896;;html;shkaf_dlya_odezhdy_so_shtangoy_lider_prestizh_83_11;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc398-a3e3-11e1-b0a2-001517fdaa50_00009464033_Lider-Prestizh%2083.11/photo_1_00009464033_Lider-Prestizh%2083.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198896;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для одежды «Лидер-Престиж 83.11» является частью модульного набора для офиса «Лидер-Престиж». Внутри установлена штанга для хранения одежды на плечиках. Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. В изделии используются межсекционные стяжки.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc398-a3e3-11e1-b0a2-001517fdaa50_00009464033_Lider-Prestizh%2083.11/photo_7_00009464033_Lider-Prestizh%2083.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198869;46;0.100;650;390;1990;Лидер-Престиж;Дуб Венге;1;8 лет;;Главная;Шкафы;Распашные модульные шкафы;;23 710;RUB
2166;Лидер-Престиж 83.11;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc398-a3e3-11e1-b0a2-001517fdaa50_00009464033_Lider-Prestizh%2083.11/photo_1_00009464033_Lider-Prestizh%2083.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198896;;html;shkaf_dlya_odezhdy_so_shtangoy_lider_prestizh_83_11;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc398-a3e3-11e1-b0a2-001517fdaa50_00009464033_Lider-Prestizh%2083.11/photo_1_00009464033_Lider-Prestizh%2083.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198896;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для одежды «Лидер-Престиж 83.11» является частью модульного набора для офиса «Лидер-Престиж». Внутри установлена штанга для хранения одежды на плечиках. Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола. В изделии используются межсекционные стяжки.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc398-a3e3-11e1-b0a2-001517fdaa50_00009464033_Lider-Prestizh%2083.11/photo_8_00009464033_Lider-Prestizh%2083.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657198870;46;0.100;650;390;1990;Лидер-Престиж;Дуб Венге;1;8 лет;;Главная;Шкафы;Распашные модульные шкафы;;23 710;RUB
2167;Цезарь 21.11;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ae01dd10-cc16-11e1-91d9-001517fdaa50_00009467521_TSezar%2021.11/photo_1_00009467521_TSezar%2021.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112606;;html;shkaf_dlya_odezhdy_so_shtangoy_tsezar_21_11;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ae01dd10-cc16-11e1-91d9-001517fdaa50_00009467521_TSezar%2021.11/photo_1_00009467521_TSezar%2021.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112606;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф для одежды «Цезарь 21.11» является частью модульного набора для офиса «Цезарь». Внутри установлена штанга для хранения одежды на плечиках. Регулируемые по высоте ножки позволяют установить модуль, скорректировав неровности пола. В изделии используются межсекционные стяжки, а так же демпферы для мягкого закрывания дверей.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ae01dd10-cc16-11e1-91d9-001517fdaa50_00009467521_TSezar%2021.11/photo_2_00009467521_TSezar%2021.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112583;46;0.110;600;390;1970;Цезарь;Дуб Венге;1;8 лет;;Главная;Шкафы;Распашные модульные шкафы;;22 410;RUB
2167;Цезарь 21.11;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ae01dd10-cc16-11e1-91d9-001517fdaa50_00009467521_TSezar%2021.11/photo_1_00009467521_TSezar%2021.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112606;;html;shkaf_dlya_odezhdy_so_shtangoy_tsezar_21_11;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ae01dd10-cc16-11e1-91d9-001517fdaa50_00009467521_TSezar%2021.11/photo_1_00009467521_TSezar%2021.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112606;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф для одежды «Цезарь 21.11» является частью модульного набора для офиса «Цезарь». Внутри установлена штанга для хранения одежды на плечиках. Регулируемые по высоте ножки позволяют установить модуль, скорректировав неровности пола. В изделии используются межсекционные стяжки, а так же демпферы для мягкого закрывания дверей.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ae01dd10-cc16-11e1-91d9-001517fdaa50_00009467521_TSezar%2021.11/photo_3_00009467521_TSezar%2021.11SHkaf%20dlya%20odezhdy%20so%20shtangoy.jpg?1657112583;46;0.110;600;390;1970;Цезарь;Дуб Венге;1;8 лет;;Главная;Шкафы;Распашные модульные шкафы;;22 410;RUB
2168;Лидер 82.12;https://davitamebel.ru/upload/resize_cache/product/275_206_1/ffc123b2-cc14-11e1-91d9-001517fdaa50_00009467509_Lider%2082.12/photo_1_00009467509_Lider%2082.12SHkaf%20s%20polkami.jpg?1658408585;;html;shkaf_s_polkami_lider_82_12;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/ffc123b2-cc14-11e1-91d9-001517fdaa50_00009467509_Lider%2082.12/photo_1_00009467509_Lider%2082.12SHkaf%20s%20polkami.jpg?1658408585;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для документов «Лидер 82.12» является частью модульного набора для офиса «Лидер». Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/ffc123b2-cc14-11e1-91d9-001517fdaa50_00009467509_Lider%2082.12/photo_2_00009467509_Lider%2082.12SHkaf%20s%20polkami.jpg?1658408582;53;0.100;650;390;1990;Лидер 82;Орех Пегас;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;26 200;RUB
2169;Лидер 84.12;https://davitamebel.ru/upload/resize_cache/product/275_206_1/3d8968cb-bdbb-11e9-8b35-00155d00bf04__0000030044_Lider%2084.12/photo_1__0000030044_Lider%2084.12SHkaf%20s%20polkami.jpg?1658408685;;html;shkaf_s_polkami_lider_84_12;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/3d8968cb-bdbb-11e9-8b35-00155d00bf04__0000030044_Lider%2084.12/photo_1__0000030044_Lider%2084.12SHkaf%20s%20polkami.jpg?1658408685;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для документов «Лидер 84.12» является частью модульного набора для офиса «Лидер».Модуль разделен полками на пять секций. Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола.В изделии используются межсекционные стяжки.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/3d8968cb-bdbb-11e9-8b35-00155d00bf04__0000030044_Lider%2084.12/photo_2__0000030044_Lider%2084.12SHkaf%20s%20polkami.jpg?1658408682;53;0.100;650;390;1990;Лидер 84;Дуб Кронберг;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;26 200;RUB
2170;Лидер-Престиж 83.12;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc39a-a3e3-11e1-b0a2-001517fdaa50_00009464034_Lider-Prestizh%2083.12/photo_1_00009464034_Lider-Prestizh%2083.12SHkaf%20s%20polkami.jpg?1658408468;;html;shkaf_s_polkami_lider_prestizh_83_12;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc39a-a3e3-11e1-b0a2-001517fdaa50_00009464034_Lider-Prestizh%2083.12/photo_1_00009464034_Lider-Prestizh%2083.12SHkaf%20s%20polkami.jpg?1658408468;"<div class=""p html-content"" itemprop=""description""><font size=""3""><p>Шкаф для документов «Лидер-Престиж 83.12» является частью модульного набора для офиса «Лидер-Престиж». Регулируемые по высоте ножки позволяют компенсировать возможные неровности пола.</p></font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc39a-a3e3-11e1-b0a2-001517fdaa50_00009464034_Lider-Prestizh%2083.12/photo_2_00009464034_Lider-Prestizh%2083.12SHkaf%20s%20polkami.jpg?1658408465;53;0.100;650;390;1990;Лидер-Престиж;Дуб Венге;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;24 970;RUB
