IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP322;IP_PROP83;IP_PROP323;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
2095;Альфа 61.40;https://davitamebel.ru/upload/resize_cache/product/275_206_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;;html;stellazh_alfa_61_40;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_1_00009464062_Alfa%2061.40Stellazh.jpg?1631883666;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 61.40» является частью модульного набора мебели для офиса «Альфа». Модуль разделен полками на пять секций. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/73ccc3d2-a3e3-11e1-b0a2-001517fdaa50_00009464062_Alfa%2061.40/photo_6_00009464062_Alfa%2061.40Stellazh.jpg?1653570076;42;0.100;760;390;2020;Альфа 61;Ольха;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;18 280;RUB
2096;Рубин 40.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/f9b27fab-b83a-11e9-8b33-00155d00bf04__0000029593_Rubin%2040.31/photo_1__0000029593_Rubin%2040.31Stellazh.jpg?1619096469;;html;stellazh_rubin_40_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/f9b27fab-b83a-11e9-8b33-00155d00bf04__0000029593_Rubin%2040.31/photo_1__0000029593_Rubin%2040.31Stellazh.jpg?1619096469;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 40.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций. Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/f9b27fab-b83a-11e9-8b33-00155d00bf04__0000029593_Rubin%2040.31/photo_2__0000029593_Rubin%2040.31Stellazh.jpg?1619096466;36;0.080;700;380;1860;Рубин 40;Сосна Астрид;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;15 810;RUB
2096;Рубин 40.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/f9b27fab-b83a-11e9-8b33-00155d00bf04__0000029593_Rubin%2040.31/photo_1__0000029593_Rubin%2040.31Stellazh.jpg?1619096469;;html;stellazh_rubin_40_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/f9b27fab-b83a-11e9-8b33-00155d00bf04__0000029593_Rubin%2040.31/photo_1__0000029593_Rubin%2040.31Stellazh.jpg?1619096469;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 40.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций. Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/f9b27fab-b83a-11e9-8b33-00155d00bf04__0000029593_Rubin%2040.31/photo_3__0000029593_Rubin%2040.31Stellazh.jpg?1653656483;36;0.080;700;380;1860;Рубин 40;Сосна Астрид;1;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;15 810;RUB
2097;Рубин 41.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_1_00009467444_Rubin%2041.31Stellazh.jpg?1622638905;;html;stellazh_rubin_41_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_1_00009467444_Rubin%2041.31Stellazh.jpg?1622638905;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 41.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций.Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_2_00009467444_Rubin%2041.31Stellazh.jpg?1622638901;36;0.080;700;380;1860;Рубин 41;Итальянский Орех;1;8 лет;;Главная;Акции;Акции по группам мебели;Шкафы по акции;15 810;RUB
2097;Рубин 41.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_1_00009467444_Rubin%2041.31Stellazh.jpg?1622638905;;html;stellazh_rubin_41_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_1_00009467444_Rubin%2041.31Stellazh.jpg?1622638905;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 41.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций.Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_3_00009467444_Rubin%2041.31Stellazh.jpg?1622638902;36;0.080;700;380;1860;Рубин 41;Итальянский Орех;1;8 лет;;Главная;Акции;Акции по группам мебели;Шкафы по акции;15 810;RUB
2097;Рубин 41.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_1_00009467444_Rubin%2041.31Stellazh.jpg?1622638905;;html;stellazh_rubin_41_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_1_00009467444_Rubin%2041.31Stellazh.jpg?1622638905;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 41.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций.Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/c32b06b7-cc10-11e1-91d9-001517fdaa50_00009467444_Rubin%2041.31/photo_4_00009467444_Rubin%2041.31Stellazh.jpg?1653570105;36;0.080;700;380;1860;Рубин 41;Итальянский Орех;1;8 лет;;Главная;Акции;Акции по группам мебели;Шкафы по акции;15 810;RUB
2098;Рубин 42.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e84f3aad-cc12-11e1-91d9-001517fdaa50_00009467476_Rubin%2042.31/photo_1_00009467476_Rubin%2042.31Stellazh.jpg?1619010116;;html;stellazh_rubin_42_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e84f3aad-cc12-11e1-91d9-001517fdaa50_00009467476_Rubin%2042.31/photo_1_00009467476_Rubin%2042.31Stellazh.jpg?1619010116;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 42.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций. Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e84f3aad-cc12-11e1-91d9-001517fdaa50_00009467476_Rubin%2042.31/photo_2_00009467476_Rubin%2042.31Stellazh.jpg?1619010114;36;0.080;700;380;1860;Рубин 42;Миланский Орех;1;8 лет;;Главная;Акции;Акции по группам мебели;Шкафы по акции;15 810;RUB
2098;Рубин 42.31;https://davitamebel.ru/upload/resize_cache/product/275_206_1/e84f3aad-cc12-11e1-91d9-001517fdaa50_00009467476_Rubin%2042.31/photo_1_00009467476_Rubin%2042.31Stellazh.jpg?1619010116;;html;stellazh_rubin_42_31;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/e84f3aad-cc12-11e1-91d9-001517fdaa50_00009467476_Rubin%2042.31/photo_1_00009467476_Rubin%2042.31Stellazh.jpg?1619010116;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Шкаф «Рубин 42.31» является частью модульного набора мебели для офиса «Рубин».Модуль разделён полками на пять секций. Ножки регулируются по высоте, что позволяет при установке компенсировать возможные неровности пола.</font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/e84f3aad-cc12-11e1-91d9-001517fdaa50_00009467476_Rubin%2042.31/photo_3_00009467476_Rubin%2042.31Stellazh.jpg?1653570119;36;0.080;700;380;1860;Рубин 42;Миланский Орех;1;8 лет;;Главная;Акции;Акции по группам мебели;Шкафы по акции;15 810;RUB
2099;Альфа 64 532;https://davitamebel.ru/upload/resize_cache/product/275_206_1/771541f8-5c87-11eb-81b1-00155d001f02_IM-00001062_Alfa%2064%20532/photo_1_IM-00001062_Alfa%2064%20532Stellazh%20zakrytyy.jpg?1649682478;;html;stellazh_zakrytyy_alfa_64_14;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/771541f8-5c87-11eb-81b1-00155d001f02_IM-00001062_Alfa%2064%20532/photo_1_IM-00001062_Alfa%2064%20532Stellazh%20zakrytyy.jpg?1649682478;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 64 532» является частью модульного набора мебели «Альфа». Модуль разделен полками на пять секций.Стеллаж укомплектован дверцами. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/771541f8-5c87-11eb-81b1-00155d001f02_IM-00001062_Alfa%2064%20532/photo_2_IM-00001062_Alfa%2064%20532Stellazh%20zakrytyy.jpg?1649682476;50;0.120;760;390;2020;Альфа 64;Дуб Кронберг;;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;23 640;RUB
2099;Альфа 64 532;https://davitamebel.ru/upload/resize_cache/product/275_206_1/771541f8-5c87-11eb-81b1-00155d001f02_IM-00001062_Alfa%2064%20532/photo_1_IM-00001062_Alfa%2064%20532Stellazh%20zakrytyy.jpg?1649682478;;html;stellazh_zakrytyy_alfa_64_14;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/771541f8-5c87-11eb-81b1-00155d001f02_IM-00001062_Alfa%2064%20532/photo_1_IM-00001062_Alfa%2064%20532Stellazh%20zakrytyy.jpg?1649682478;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Стеллаж «Альфа 64 532» является частью модульного набора мебели «Альфа». Модуль разделен полками на пять секций.Стеллаж укомплектован дверцами. Устойчивость конструкции придают межсекционные стяжки. Регулируемые по высоте ножки компенсируют возможные неровности пола. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/771541f8-5c87-11eb-81b1-00155d001f02_IM-00001062_Alfa%2064%20532/photo_3_IM-00001062_Alfa%2064%20532Stellazh%20zakrytyy.jpg?1649682475;50;0.120;760;390;2020;Альфа 64;Дуб Кронберг;;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы для документов;23 640;RUB
