IE_XML_ID;IE_NAME;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IE_DETAIL_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IP_PROP59;IP_PROP77;IP_PROP319;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP320;IP_PROP81;IP_PROP83;IP_PROP321;IC_GROUP0;IC_GROUP1;IC_GROUP2;IC_GROUP3;CV_PRICE_1;CV_CURRENCY_1
1913;Альфа 62 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;;html;nabor_shkafov_alfa_62_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 62 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 62 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_4_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923673;125;0.270;1520;550;2020;Альфа 62;Орех Пегас;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1913;Альфа 62 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;;html;nabor_shkafov_alfa_62_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_1_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1618923674;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 62 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 62 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/6f140658-7295-11eb-b5be-00155d001f02_IM-00001109_Alfa%2062%20230/photo_5_IM-00001109_Alfa%2062%20230Nabor%20shkafov.jpg?1653570249;125;0.270;1520;550;2020;Альфа 62;Орех Пегас;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1914;Альфа 61 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;;html;nabor_shkafov_alfa_61_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 61 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 61 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_2_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923669;125;0.270;1520;550;2020;Альфа 61;Ольха;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1914;Альфа 61 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;;html;nabor_shkafov_alfa_61_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 61 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 61 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_3_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923669;125;0.270;1520;550;2020;Альфа 61;Ольха;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1914;Альфа 61 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;;html;nabor_shkafov_alfa_61_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 61 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 61 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_4_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923669;125;0.270;1520;550;2020;Альфа 61;Ольха;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1914;Альфа 61 230;https://davitamebel.ru/upload/resize_cache/product/275_206_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;;html;nabor_shkafov_alfa_61_230;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_1_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1618923671;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 61 230» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 61 230» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/bff2afaa-728d-11eb-b5be-00155d001f02_IM-00001108_Alfa%2061%20230/photo_5_IM-00001108_Alfa%2061%20230Nabor%20shkafov.jpg?1653570248;125;0.270;1520;550;2020;Альфа 61;Ольха;8 лет;;Главная;Офисная мебель;Офисная мебель;;58 450;RUB
1915;Альфа 64 232;https://davitamebel.ru/upload/resize_cache/product/275_206_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;;html;nabor_shkafov_alfa_64_232;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 232» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 232» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_2_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408870;130;0.300;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;64 700;RUB
1915;Альфа 64 232;https://davitamebel.ru/upload/resize_cache/product/275_206_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;;html;nabor_shkafov_alfa_64_232;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 232» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 232» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_3_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408870;130;0.300;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;64 700;RUB
1915;Альфа 64 232;https://davitamebel.ru/upload/resize_cache/product/275_206_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;;html;nabor_shkafov_alfa_64_232;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 232» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 232» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_4_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408871;130;0.300;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;64 700;RUB
1915;Альфа 64 232;https://davitamebel.ru/upload/resize_cache/product/275_206_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;;html;nabor_shkafov_alfa_64_232;html;https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_1_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408873;"<div class=""p html-content"" itemprop=""description""><font size=""3"">Набор шкафов «Альфа 64 232» позволит организовать комфортное рабочее место и продуманную систему хранения в кабинете, максимально эффективно используя пространство комнаты.«Альфа 64 232» является частью модульной коллекции, а это значит, что Вы можете купить этот набор в представленном виде или дополнить состав набора с учетом своих пожеланий. </font></div>";https://davitamebel.ru/upload/resize_cache/product/841_631_1/659621bd-7d9d-11eb-8994-00155d001f02_IM-00001133_Alfa%2064%20232/photo_5_IM-00001133_Alfa%2064%20232Nabor%20shkafov.jpg?1658408871;130;0.300;1520;550;2020;Альфа 64;Дуб Кронберг;8 лет;;Главная;Офисная мебель;Офисные шкафы;Шкафы закрытые;64 700;RUB
