IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP74;IP_PROP352;IP_PROP332;IP_PROP346;IP_PROP331;CV_PRICE_1
3601;Стол производственный СП-С-8/8 (800х800х850);stol-proizvodstvennyj-sp-s-8-8-800x800x850;3572;heigh850width800depth800;850;800;800;ООО «АССУМ»;;;;;6 066
3602;Стол производственный СП-С-9/8 (900х800х850);stol-proizvodstvennyj-sp-s-9-8-900x800x850;3572;heigh850width800depth900;850;800;900;ООО «АССУМ»;;;;;6 469
3603;Стол производственный СП-С-10/8 (1000х800х850);stol-proizvodstvennyj-sp-s-10-8-1000x800x850;3572;heigh850width800depth1000;850;800;1000;ООО «АССУМ»;;;;;6 793
3604;Стол производственный СП-С-11/8 (1100х800х850);stol-proizvodstvennyj-sp-s-11-8-1100x800x850;3572;heigh850width800depth1100;850;800;1100;ООО «АССУМ»;;;;;7 091
3605;Стол производственный СП-С-12/8 (1200х800х850);stol-proizvodstvennyj-sp-s-12-8-1200x800x850;3572;heigh850width800depth1200;850;800;1200;ООО «АССУМ»;;;;;7 661
3606;Стол производственный СП-С-13/8 (1300х800х850);stol-proizvodstvennyj-sp-s-13-8-1300x800x850;3572;heigh850width800depth1300;850;800;1300;ООО «АССУМ»;;;;;7 992
3607;Стол производственный СП-С-14/8 (1400х800х850);stol-proizvodstvennyj-sp-s-14-8-1400x800x850;3572;heigh850width800depth1400;850;800;1400;ООО «АССУМ»;;;;;8 615
3608;Стол производственный СП-С-15/8 (1500х800х850);stol-proizvodstvennyj-sp-s-15-8-1500x800x850;3572;heigh850width800depth1500;850;800;1500;ООО «АССУМ»;;;;;8 846
3609;Стол производственный СП-С-16/8 (1600х800х850);stol-proizvodstvennyj-sp-s-16-8-1600x800x850;3572;heigh850width800depth1600;850;800;1600;ООО «АССУМ»;;;;;9 277
3610;Стол производственный СП-С-17/8 (1700х800х850);stol-proizvodstvennyj-sp-s-17-8-1700x800x850;3572;heigh850width800depth1700;850;800;1700;ООО «АССУМ»;;;;;9 776
3611;Стол производственный СП-С-18/8 (1800х800х850);stol-proizvodstvennyj-sp-s-18-8-1800x800x850;3572;heigh850width800depth1800;850;800;1800;ООО «АССУМ»;;;;;11 687
3613;Стол производственный СПБ-С-6/6 (600х600х850);stol-proizvodstvennyj-spb-s-6-6-600x600x850;3612;heigh850width600depth600;850;600;600;ООО «АССУМ»;;;;;4 476
3614;Стол производственный СПБ-С-7/6 (700х600х850);stol-proizvodstvennyj-spb-s-7-6-700x600x850;3612;heigh850width600depth700;850;600;700;ООО «АССУМ»;;;;;4 722
3615;Стол производственный СПБ-С-8/6 (800х600х850);stol-proizvodstvennyj-spb-s-8-6-800x600x850;3612;heigh850width600depth800;850;600;800;ООО «АССУМ»;;;;;5 136
3616;Стол производственный СПБ-С-9/6 (900х600х850);stol-proizvodstvennyj-spb-s-9-6-900x600x850;3612;heigh850width600depth900;850;600;900;ООО «АССУМ»;;;;;5 438
3617;Стол производственный СПБ-С-10/6 (1000х600х850);stol-proizvodstvennyj-spb-s-10-6-1000x600x850;3612;heigh850width600depth1000;850;600;1000;ООО «АССУМ»;;;;;5 712
3618;Стол производственный СПБ-С-11/6 (1100х600х850);stol-proizvodstvennyj-spb-s-11-6-1100x600x850;3612;heigh850width600depth1100;850;600;1100;ООО «АССУМ»;;;;;6 006
3619;Стол производственный СПБ-С-12/6 (1200х600х850);stol-proizvodstvennyj-spb-s-12-6-1200x600x850;3612;heigh850width600depth1200;850;600;1200;ООО «АССУМ»;;;;;6 469
3620;Стол производственный СПБ-С-13/6 (1300х600х850);stol-proizvodstvennyj-spb-s-13-6-1300x600x850;3612;heigh850width600depth1300;850;600;1300;ООО «АССУМ»;;;;;6 750
3621;Стол производственный СПБ-С-14/6 (1400х600х850);stol-proizvodstvennyj-spb-s-14-6-1400x600x850;3612;heigh850width600depth1400;850;600;1400;ООО «АССУМ»;;;;;7 177
3622;Стол производственный СПБ-С-15/6 (1500х600х850);stol-proizvodstvennyj-spb-s-15-6-1500x600x850;3612;heigh850width600depth1500;850;600;1500;ООО «АССУМ»;;;;;7 456
3623;Стол производственный СПБ-С-16/6 (1600х600х850);stol-proizvodstvennyj-spb-s-16-6-1600x600x850;3612;heigh850width600depth1600;850;600;1600;ООО «АССУМ»;;;;;7 821
3624;Стол производственный СПБ-С-17/6 (1700х600х850);stol-proizvodstvennyj-spb-s-17-6-1700x600x850;3612;heigh850width600depth1700;850;600;1700;ООО «АССУМ»;;;;;8 204
3625;Стол производственный СПБ-С-18/6 (1800х600х850);stol-proizvodstvennyj-spb-s-18-6-1800x600x850;3612;heigh850width600depth1800;850;600;1800;ООО «АССУМ»;;;;;8 513
3626;Стол производственный СПБ-С-6/7 (600х700х850);stol-proizvodstvennyj-spb-s-6-7-600x700x850;3612;heigh850width700depth600;850;700;600;ООО «АССУМ»;;;;;4 719
3627;Стол производственный СПБ-С-7/7 (700х700х850);stol-proizvodstvennyj-spb-s-7-7-700x700x850;3612;heigh850width700depth700;850;700;700;ООО «АССУМ»;;;;;4 982
