IE_XML_ID;IE_NAME;IE_CODE;IP_PROP91;IP_PROP90;IP_PROP71;IP_PROP72;IP_PROP73;IP_PROP340;IP_PROP345;IP_PROP341;IP_PROP342;IP_PROP343;IP_PROP344;IP_PROP74;IP_PROP351;CV_PRICE_1
3538;Стеллаж производственный СТПП-С-6/5 (600х500х1800);stellazh-proizvodstvennyj-stpp-s-6-5-600x500x1800;3524;heigh1800width500depth600;1800;500;600;620;;520;24;210;23;;;9 458
3539;Стеллаж производственный СТПП-С-6/6 (600х600х1800);stellazh-proizvodstvennyj-stpp-s-6-6-600x600x1800;3524;heigh1800width600depth600;1800;600;600;620;0.08;620;25.2;210;24.4;;;12 362
3541;Стеллаж производственный СТП-П-10/4 (1000х400х1800);stellazh-proizvodstvennyj-stp-p-10-4-1000x400x1800;3540;heigh1800width400depth1000;1800;400;1000;;;;;;;ООО «АССУМ»;;12 694
3542;Стеллаж производственный СТП-П-10/5 (1000х500х1800);stellazh-proizvodstvennyj-stp-p-10-5-1000x500x1800;3540;heigh1800width500depth1000;1800;500;1000;;;;;;;ООО «АССУМ»;;13 773
3543;Стеллаж производственный СТП-П-10/6 (1000х600х1800);stellazh-proizvodstvennyj-stp-p-10-6-1000x600x1800;3540;heigh1800width600depth1000;1800;600;1000;;;;;;;ООО «АССУМ»;;17 239
3544;Стеллаж производственный СТП-П-12/4 (1200х400х1800);stellazh-proizvodstvennyj-stp-p-12-4-1200x400x1800;3540;heigh1800width400depth1200;1800;400;1200;;;;;;;ООО «АССУМ»;;14 048
3545;Стеллаж производственный СТП-П-12/5 (1200х500х1800);stellazh-proizvodstvennyj-stp-p-12-5-1200x500x1800;3540;heigh1800width500depth1200;1800;500;1200;;;;;;;;;15 339
3546;Стеллаж производственный СТП-П-12/6 (1200х600х1800);stellazh-proizvodstvennyj-stp-p-12-6-1200x600x1800;3540;heigh1800width600depth1200;1800;600;1200;;;;;;;ООО «АССУМ»;;18 683
3547;Стеллаж производственный СТП-П-15/4 (1500х400х1800);stellazh-proizvodstvennyj-stp-p-15-4-1500x400x1800;3540;heigh1800width400depth1500;1800;400;1500;;;;;;;ООО «АССУМ»;;16 058
3548;Стеллаж производственный СТП-П-15/5 (1500х500х1800);stellazh-proizvodstvennyj-stp-p-15-5-1500x500x1800;3540;heigh1800width500depth1500;1800;500;1500;;;;;;;ООО «АССУМ»;;17 490
3549;Стеллаж производственный СТП-П-15/6 (1500х600х1800);stellazh-proizvodstvennyj-stp-p-15-6-1500x600x1800;3540;heigh1800width600depth1500;1800;600;1500;;;;;;;ООО «АССУМ»;;21 037
3550;Стеллаж производственный СТП-П-18/4 (1800х400х1800);stellazh-proizvodstvennyj-stp-p-18-4-1800x400x1800;3540;heigh1800width400depth1800;1800;400;1800;;;;;;;ООО «АССУМ»;;17 897
3551;Стеллаж производственный СТП-П-18/5 (1800х500х1800);stellazh-proizvodstvennyj-stp-p-18-5-1800x500x1800;3540;heigh1800width500depth1800;1800;500;1800;;;;;;;ООО «АССУМ»;;19 743
3552;Стеллаж производственный СТП-П-18/6 (1800х600х1800);stellazh-proizvodstvennyj-stp-p-18-6-1800x600x1800;3540;heigh1800width600depth1800;1800;600;1800;;;;;;;ООО «АССУМ»;;23 530
3553;Стеллаж производственный СТП-П-6/4 (600х400х1800);stellazh-proizvodstvennyj-stp-p-6-4-600x400x1800;3540;heigh1800width400depth600;1800;400;600;;;;;;;ООО «АССУМ»;;10 151
3554;Стеллаж производственный СТП-П-6/5 (600х500х1800);stellazh-proizvodstvennyj-stp-p-6-5-600x500x1800;3540;heigh1800width500depth600;1800;500;600;;;;;;;ООО «АССУМ»;;10 775
