IE_XML_ID;IP_PROP356;IE_CODE;IP_PROP358;IP_PROP90;IP_PROP359;IP_PROP360;IP_PROP361;IP_PROP362;CR_PRICE_1_RUB
3661;Картотечный металлический шкаф для хранения документов КР-3;Kartotechnyj-metallicheskij-shkaf-dlja-hranenija-dokumentov-KR-3;3660;heigh1025width465depth630weight45;1025;465;630;45;18 637
3663;Картотечный металлический шкаф для хранения документов КР-2;Kartotechnyj-metallicheskij-shkaf-dlja-hranenija-dokumentov-KR-2;3662;heigh715width465depth630weight31;715;465;630;31;13 789
3665;Картотечный металлический шкаф для хранения документов КР-5;Kartotechnyj-metallicheskij-shkaf-dlja-hranenija-dokumentov-KR-5;3664;heigh1645width465depth630weight68;1645;465;630;68;29 031
3667;Картотечный металлический шкаф для хранения документов КР-7;Kartotechnyj-metallicheskij-shkaf-dlja-hranenija-dokumentov-KR-7;3666;heigh1365width509depth575weight65;1365;509;575;65;28 714
3669;Металлический бухгалтерский шкаф КБС-02;Metallicheskij-buhgalterskij-shkaf-KBS-02;3668;heigh320width420depth350weight12;320;420;350;12;4 779
3671;Металлический бухгалтерский шкаф КБС-012т;Metallicheskij-buhgalterskij-shkaf-KBS-012t;3670;heigh660width420depth350weight21;660;420;350;21;7 369
3673;Металлический бухгалтерский шкаф КБС-011т;Metallicheskij-buhgalterskij-shkaf-KBS-011t;3672;heigh660width420depth350weight21;660;420;350;21;7 112
3675;Металлический шкаф для хранения одежды и инвентаря ШРМ-АК-У;Metallicheskij-shkaf-dlja-hranenija-odezhdy-i-inventarja-ShRM-AK-U;3674;heigh1860width500depth500weight29;1860;500;500;29;10 717
3677;Полка для хранения обуви для шкафов ШРМ Для 500 мм;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-500-mm;3676;heigh20width195depth450;20;195;450;;145
3678;Полка для хранения обуви для шкафов ШРМ Для 600 мм;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-600-mm;3676;heigh20width295depth450;20;295;450;;159
3679;Полка для хранения обуви для шкафов ШРМ Для 800 мм;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-800-mm;3676;heigh20width395depth450;20;395;450;;182
3680;Полка для хранения обуви для шкафов ШРМ Для ШАМ - 11.Р;Polka-dlja-hranenija-obuvi-dlja-shkafov-ShRM-Dlja-ShAM---11.R;3676;heigh20width835depth460;20;835;460;;710
3682;Односекционный металлический шкаф для одежды ШРМ-12;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-12;3681;heigh1860width300depth500weight20;1860;300;500;20;7 567
3684;Односекционный металлический шкаф для одежды ШРМ-11 ШРМ-11;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11-ShRM-11;3683;heigh1860width300depth500;1860;300;500;;6 259
3685;Односекционный металлический шкаф для одежды ШРМ-11 ШРМ-11/400;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-11-ShRM-11/400;3683;heigh1860width400depth500;1860;400;500;;7 310
3687;Двухсекционный металлический шкаф для одежды ШРМ-24;Dvuhsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-24;3686;heigh1860width600depth500weight34;1860;600;500;34;11 624
3689;Трехсекционный металлический шкаф для одежды ШРМ-33;Trehsektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-33;3688;heigh1860width900depth500weight54;1860;900;500;54;16 442
3691;Односекционный металлический шкаф для одежды ШРМ-21;Odnosektsionnyj-metallicheskij-shkaf-dlja-odezhdy-ShRM-21;3690;heigh1860width400depth500weight28;1860;400;500;28;8 286
